,spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
93,6460,138,32659,281,75,1349,1721,3901,4316,8575,8292,3245713,5717030,6,55202,3681,3292,2332837,183.79,20245,625024966,pasha_cotnar_21350782,"525,32"
94,441,0,2651,174,7,1285,114,338,359,1101,704,79107,172394,8,5251,302,720,122399,64.26,1602,633638699,jimsun_73243839,"216,76"
95,3328,4,33625,232,24,1377,930,1811,1931,2551,3766,721975,1393571,7,83914,2406,2269,871889,80.25,19948,601719692,jelezniy_TATARIN,"372,17"
96,33288,1104,111380,494,204,2478,4367,11472,12175,23601,23851,19825782,22893931,8,166104,15162,6345,11778319,348.13,78016,533531465,Kallio95,"1062,68"
97,4974,371,27095,221,77,1773,1358,3384,4015,3275,7476,1810835,3138373,7,57114,2912,3584,1653680,100.62,16108,537650241,xxdinvader,"392,09"
98,23128,0,97462,453,183,2259,3681,8795,8199,24323,17177,14484758,14664089,8,143177,13186,6913,7786896,371.1,57784,597854827,_Shykamaro_,"1252,25"
99,812,0,4865,193,12,1170,301,581,561,3207,1154,180326,285881,6,8998,574,1352,222854,78.27,2985,530093045,klejarz90,"381,20"
100,4236,0,24008,356,40,1510,951,1914,1790,5413,3744,2285001,2922523,8,39752,3087,2745,1333699,301.18,614,504634410,CzarnaBrygada,"1085,08"
102,1974,268,15632,417,28,1956,863,1770,1814,3310,3612,1637203,1927466,8,28928,2464,3178,1504670,123.95,10773,540325833,tragiaskas,"704,66"
103,5858,9,30841,340,88,2101,1339,2685,2778,9394,5551,2893643,3316157,9,49254,3598,4355,1888471,211.48,2201,500051938,Szkaradek,"927,66"
104,4963,59,42631,364,94,2075,2335,4164,4319,4915,8577,6682311,6670419,8,76869,6263,7572,3120512,261.78,21355,599456275,baiyshbaiysh,"1072,02"
105,22592,224,137780,605,254,2562,6057,11136,9734,35346,21124,25968246,22142550,10,200112,20272,7065,12788713,396.39,65992,500897148,Fallen_Legion,"1642,37"
106,1780,0,9186,318,9,1309,416,936,906,2055,1851,769634,947599,7,14447,1267,3053,588037,173.3,6425,520483270,Rhinovieh,"885,89"
107,1782,2,21245,189,27,1110,484,1078,1174,836,2279,336410,543170,7,40213,1326,1400,430717,57.49,10864,525030704,lukykubi,"308,06"
108,27,848,1716,364,15,1479,328,422,474,58,911,465243,201001,5,5379,435,2163,331828,49.21,274,615397803,Pencenthenaz,"573,31"
109,13841,2150,66313,356,215,1961,4735,8736,9801,16528,18752,11659052,14705533,7,125942,9420,5767,6673308,215.69,40975,619748119,strangerroot,"709,13"
110,812,0,10748,256,8,1011,187,414,358,1846,780,195984,160844,7,21193,670,0,199806,0.0,0,623407198,RenamedUser_17188279,"881,27"
111,2276,0,8380,135,37,1054,647,1303,1519,6305,2859,173083,624026,4,27826,585,1086,386699,71.39,4362,515671285,Coquim,"57,86"
112,2146,0,11108,402,16,1931,678,909,799,2083,1724,1104268,958581,8,18067,1468,4967,693827,416.59,7167,569739389,__invasible__,"1297,05"
113,511,0,3912,207,8,1000,150,421,411,1059,840,139646,233072,7,8679,398,1299,173786,82.45,2376,628275858,14DaVaKin14,"339,92"
114,10662,1,51980,280,66,1377,964,3005,2941,9399,6012,1774858,2835026,9,135980,3924,2720,1680654,222.95,5164,621607882,__nikto,"619,26"
115,383,0,2934,162,6,761,208,472,495,1243,973,122288,221936,4,6086,345,981,157482,50.87,1604,523893178,Jack_warrior_23,"191,55"
116,494,0,4155,304,4,1502,133,292,335,380,631,226611,323727,6,7636,352,2644,191660,174.96,2973,613640713,Alex_Zalevskyi,"723,33"
117,8218,80,39618,289,94,2027,1945,4458,4882,9810,9434,4361876,5986071,8,70847,5319,4094,2721766,242.8,15020,502107701,szoser,"704,28"
118,892,0,5522,271,18,1692,238,496,529,1883,1043,314421,482250,6,12445,600,2346,282551,175.97,1221,503972474,_Phate_,"602,44"
119,3452,94,24777,339,52,1799,1011,1983,1963,4671,3998,1773271,1783333,6,43954,2754,2853,1356255,171.91,15657,604793309,Nnoitra1_81775155,"975,20"
121,9315,0,56594,393,150,2149,2343,6313,6757,14145,13220,7918031,12734504,8,81666,7617,6108,5194285,307.63,17000,637370186,Stalin1113,"723,34"
123,470,0,3486,244,12,1410,115,297,298,806,607,130627,207052,4,7377,340,0,148075,0.0,0,623191755,Deadcert_16459402,"511,86"
124,41890,314,192604,569,272,2475,7399,14768,11834,15588,26874,41959723,30358170,10,257699,30175,8932,15302849,570.54,128110,510228160,matthy070,"2191,99"
125,11862,47,41121,317,83,1829,1843,5255,6275,11847,11613,5250037,8910731,7,70581,5250,4009,3681865,201.93,26203,629444578,S_H_E_R_I_F_F_2020,"552,07"
126,680,0,2170,180,2,1176,104,369,435,2145,806,69714,260917,6,4577,160,791,145109,75.48,1223,632513966,RenamedUser_65343669,"60,81"
127,7268,90,18337,346,57,1725,992,2592,2860,4121,5509,2332238,2979873,7,34850,2875,4403,1905420,198.38,10102,655042944,AH0001HH,"620,01"
128,542,0,1638,121,20,462,156,297,381,339,698,48503,132727,4,6774,194,516,84117,101.7,37,507716396,lucasis,"24,16"
129,2145,0,16064,239,33,1233,1033,1790,2054,8827,3877,1154266,1738579,7,24975,1971,3104,926504,111.85,11058,517429309,Pius1970,"460,58"
130,725,0,2491,268,5,1493,116,311,344,1248,660,120591,288013,6,4214,267,1544,177056,124.61,1534,534201307,CiamajdaPospolita,"282,46"
131,3228,49,15979,272,44,1582,815,2109,2581,3901,4734,1516551,3665413,8,27284,1569,3881,1289200,136.09,8865,517912571,arcijsir,"311,49"
132,1274,0,12514,229,20,1258,331,825,890,2119,1735,440644,713758,8,23628,874,1924,397564,141.33,911,508246249,F_A_L_O,"488,46"
133,14035,374,70458,465,366,1860,9154,12816,12359,15920,25541,31265775,12829672,7,142079,23893,6955,11886635,216.95,24006,637352633,Chempionskii,"1608,60"
134,11602,19,72996,453,193,2331,4144,7397,7203,15924,14793,15962873,13178889,10,106509,12994,9091,6706750,299.4,47020,623312786,odil505,"1362,15"
135,987,828,6896,178,52,1121,671,1349,1707,970,3108,592296,1007460,5,17628,1013,2055,554456,58.49,3940,595503755,PsiH_oz,"193,83"
136,237,0,3520,200,8,729,286,472,536,792,1016,225476,382596,5,7584,557,1582,202860,59.39,2174,549062555,U3miprdel1,"314,64"
137,584,0,2360,198,6,1054,89,261,269,1127,536,92228,138656,6,5857,260,350,105891,121.36,49,618980942,RenamedUser_617121,"384,93"
139,27703,2120,105109,500,220,2427,5354,10325,10570,18155,21115,21220751,19076378,9,163301,16907,6603,10564415,420.66,77009,632821525,Blackjak_67451953,"1249,97"
140,577,0,3347,178,8,1107,214,561,609,767,1178,172811,403956,6,7641,465,1857,209236,64.04,1932,542672710,maciu_89,"201,20"
141,3056,0,16987,222,25,1137,735,1692,1781,2362,3498,844435,1398356,7,35919,1778,2749,776669,107.06,10216,512182336,BrayingDonkey,"404,64"
142,25687,177,94029,393,192,2321,3331,10473,11314,7786,21979,17143564,21973766,10,151740,11962,7014,8629008,332.42,61010,505903583,elitnik,"907,42"
143,1842,0,11343,197,68,1312,1141,1951,2178,3701,4197,1183537,1042841,9,28432,2388,0,827691,0.0,0,673331136,MITYKA73,"547,48"
144,3110,0,10595,264,23,1458,282,1223,1291,1730,2537,753136,1364373,7,17902,1127,2990,670750,176.71,6680,657469994,win_nepobedimyj,"539,42"
145,3673,0,19100,333,53,1852,1015,2309,2484,7592,4846,2358938,3207558,7,31409,3167,3853,1614128,235.02,6919,621821602,Vovan_3_,"736,98"
146,10457,0,34989,315,82,1581,1847,4756,4744,9267,9582,4268599,6262702,8,64321,5033,5337,3018429,249.4,23548,657176294,YANUSHKEVUCH,"664,02"
147,2257,70,32963,338,47,1559,863,1619,1685,5726,3351,1502119,1990326,8,55380,2081,3818,1133553,166.32,18959,604398884,se7enkill,"780,04"
148,9293,0,62846,349,166,2217,3962,7302,7857,20394,15325,9619151,13367599,9,93673,9512,4864,5348593,209.23,35156,600458051,goricont,"785,10"
149,2916,166,20711,286,49,1389,1768,2873,3173,7646,6095,2605013,3229404,7,45072,3061,3675,1745218,187.05,8259,504712714,maguilla,"517,29"
151,22263,0,118609,650,184,2969,5069,9380,7557,18860,17121,26459676,18338588,10,159155,18470,9232,11124791,459.96,80342,504545632,Almost_Dead,"2082,84"
152,829,0,4455,581,7,2110,135,299,250,669,556,352923,333562,6,6452,588,3522,322792,216.04,3260,517632398,Bartenfink,"1464,62"
153,2693,1,11372,223,34,1609,585,1608,1758,5648,3400,723724,1434005,6,21640,1468,2777,759777,125.69,2733,505973612,ProNo0B97,"345,99"
154,29025,257,206731,538,633,2340,14259,21220,23388,41733,45241,53515076,58884254,9,307243,34800,7147,24323247,376.07,116721,502576878,pavlos60,"1072,72"
155,878,0,6790,228,21,913,493,635,708,2189,1364,371995,643022,7,14526,754,0,311272,0.0,0,501427754,Rapper61,"413,80"
157,397,0,3807,259,10,1155,179,338,308,507,656,185616,123819,9,6333,642,1507,169866,67.36,3058,518801393,_Maganyos_Farkas_,"850,74"
158,3993,21,24147,341,65,2030,1146,2837,3444,1718,6346,3111332,5184531,8,52598,2759,6128,2163110,182.42,14926,522470743,patrikfari,"579,65"
159,2796,11,18783,163,55,1091,1432,2680,3381,9186,6116,710023,2345588,5,49276,1354,1878,996251,74.9,9225,516912006,joejien,"67,75"
160,2699,17,12455,290,20,1581,538,1587,1788,1126,3395,1334069,2469751,5,19201,1363,4412,985905,153.32,8306,554576555,Shadowgamer_129,"495,48"
161,3941,91,19801,291,68,1800,883,2352,2785,3849,5205,1821608,3794102,5,55896,1819,4252,1515308,165.23,11163,611388981,_Tankist809_,"417,66"
162,24928,421,132385,591,357,2499,5773,11907,11544,37359,23808,27915691,27020648,9,184942,21699,7126,14060324,433.11,65816,597159172,alexkma,"1454,72"
163,1528,0,9495,372,13,1739,360,603,506,3017,1122,567931,484940,7,14548,994,2485,417588,207.52,6664,677725704,Frenty_inf,"1549,62"
164,4956,65,26515,306,42,2101,1045,2738,2969,5141,5749,2563314,3925862,9,45419,2937,4169,1759587,181.67,17633,625982168,VALERbI4UA,"656,89"
165,8320,298,50023,425,105,1859,2227,4259,4095,7503,8459,6531529,7150375,7,89531,6264,5552,3593515,303.44,21511,500805833,Daniel_OSW,"1179,82"
166,20003,148,87054,453,197,2198,2961,9393,10027,6326,19617,14785312,19298952,9,133663,11397,7635,8878443,267.37,59866,628666701,vaniadenozaver,"902,74"
167,71464,332,261724,406,675,2370,9841,28444,31545,34980,60664,29742946,51654771,8,451348,27281,4435,24630455,284.15,176895,530449482,First_to_Die_1,"640,80"
168,4485,0,15768,239,36,1466,820,2487,2970,8577,5493,1507358,3799397,5,27015,1678,2375,1315522,144.62,9021,630938370,Lexy_007,"287,83"
169,980,0,6135,201,15,963,373,955,1120,1921,2090,375243,931843,5,15375,799,1861,419348,89.72,3521,605342949,dimox_1,"211,80"
170,2166,0,8374,157,32,839,315,1017,1209,2907,2258,233593,593765,5,16688,584,1310,354974,73.93,4594,518375814,predatorjack77,"96,51"
171,1323,435,10834,301,35,1377,839,1238,1387,843,2660,1121480,1123699,5,23676,1726,2169,799451,115.32,7046,635243230,333g_voin33,"649,06"
172,11689,0,77439,555,192,2620,4657,6980,5553,22826,12725,16281212,11213549,10,110053,13721,7811,7062087,504.21,31951,621023278,Krovill,"1838,14"
173,11067,233,49860,778,113,2744,2159,4408,3589,4791,8110,11034846,9965777,8,73594,6897,7433,6308655,482.27,35707,574657758,DghostD,"1604,49"
174,59902,96,277701,492,615,2973,13716,26351,26740,31831,53706,58171482,56059108,9,397889,44782,8366,26432771,390.17,160308,507100077,s_TR_iKer47,"1331,98"
175,53748,483,341686,452,712,2580,16167,26546,23812,73772,51070,43625689,38274203,10,526358,44583,8037,23094756,270.27,235821,594728808,sanymem74,"1352,71"
176,3238,75,23474,317,46,1826,1007,2332,2740,3163,5118,2151746,3085317,6,41456,2615,4577,1624301,150.08,14483,541047250,piotrek2v1,"642,20"
177,848,287,13316,319,43,1742,600,991,1107,1166,2141,962082,1133644,5,26095,1439,3276,683075,132.71,7477,595050387,Martin_1967_131597960,"831,57"
178,87978,678,223211,539,722,2527,8916,22468,21972,67102,45162,47153941,51411202,9,332057,33526,7652,24330949,630.32,92597,597913514,_RastamaniwE_,"1227,03"
179,1771,4,8047,199,17,1073,304,955,1279,1711,2251,374622,1269179,5,17876,633,1674,447010,106.67,4355,513301849,zahorec_lukas,"141,37"
180,787,0,4813,245,4,1142,138,387,379,1535,770,87100,131108,7,12676,421,627,188377,44.99,3012,545762631,MJU_TWO,"338,67"
181,858,82,3779,254,7,1730,141,453,540,392,1000,296881,535558,5,7622,462,3496,254417,127.26,2167,556765806,Timi14__1,"471,79"
182,137811,1056,542581,515,1221,2365,26129,56306,52350,85338,109877,122514738,112963303,10,777045,92134,8888,56621187,428.3,301045,595271720,Gromers93,"1432,64"
183,417,5,3391,282,6,1329,137,316,298,775,620,230756,380346,4,5478,329,1808,174908,167.38,2139,599466684,potuklnb,"700,05"
184,13970,1009,89267,476,278,2163,7531,11659,13935,17426,25872,17106576,25555995,6,141454,12963,4934,12305394,255.76,57025,516704644,adamiak978,"591,84"
185,1375,1142,19268,437,65,1628,1597,2058,2183,4746,4306,3410857,2808334,8,32873,3285,4082,1882704,167.85,9282,508274564,Cebuine,"933,14"
186,3361,222,22057,478,68,2207,1128,2421,2484,6559,4973,2953859,4889205,6,35912,2626,4859,2377799,209.25,12167,595202567,Silver8pz_90930735,"669,72"
187,1042,21,3767,197,8,1391,152,569,677,885,1254,170019,420202,4,8780,362,2090,247359,85.73,2132,595966795,RenamedUser_6861792511,"206,75"
188,21097,543,71378,422,176,2272,2881,9056,10221,11736,19453,14003421,18345609,8,117297,10960,6375,8211859,270.41,50621,518580516,vojvodina_c,"812,28"
189,1951,0,16489,183,51,1406,773,1608,1743,9651,3402,734118,1174178,5,31412,1410,1864,622651,77.34,11404,568303087,DolgaCevka,"423,18"
190,586,0,4378,343,1,1296,121,321,277,1103,599,288904,258069,7,7469,513,2543,205392,171.0,2911,657716641,RenamedUser_39856596,"1201,87"
191,41392,777,254164,750,490,2631,11093,19685,16158,51710,36333,52931442,39225539,13,387819,39005,8380,27255118,451.12,141801,600855960,MaEsTRO_ua_MaX,"2003,88"
192,2428,0,9905,252,29,1699,411,1311,1486,1925,2826,1063364,1430932,8,17352,1842,0,713510,0.0,0,505280041,KAPMA,"573,55"
193,5235,100,37466,455,85,2262,2291,4088,4616,4370,8789,6000638,7814569,6,61918,4751,6524,3999606,196.56,23992,516912427,staude64,"739,27"
